OrderID,CustomerID,Product,Category,Quantity,UnitPrice,Sales,Profit,OrderDate
27,187,LOreal Shampoo,Haircare,4,564,2256,318.88,03-03-2018
28,1,Biotique Cream,Skincare,5,687,3435,484.55,23-12-2021
29,8,LOreal Shampoo,Haircare,4,428,1712,417.98,27-11-2022
30,138,Minimalist Sunscreen,Skincare,4,292,1168,349.3,30-03-2018
31,221,Plum Serum,Skincare,4,1006,4024,969.04,20-11-2022
32,292,LOreal Shampoo,Haircare,2,1188,2376,690.07,15-05-2020
33,240,LOreal Shampoo,Haircare,1,1428,1428,365.68,25-06-2020
34,41,Mamaearth Face Wash,Skincare,3,900,2700,367.49,17-11-2019
35,221,Maybelline Mascara,Makeup,3,1457,4371,1029.91,12-06-2017
36,111,Maybelline Mascara,Makeup,3,1327,3981,1261.64,09-07-2020
37,277,Lakme Lipstick,Makeup,3,1333,3999,506.5,03-09-2021
38,100,Mamaearth Face Wash,Skincare,3,428,1284,147.88,21-08-2017
39,198,Mamaearth Face Wash,Skincare,1,307,307,33.91,06-08-2018
40,152,Colorbar Eyeliner,Makeup,5,765,3825,541.21,23-07-2019
41,279,Mamaearth Face Wash,Skincare,2,1188,2376,530.1,21-09-2018
42,189,Himalaya Face Pack,Skincare,3,1339,4017,464.24,08-07-2021
43,189,Biotique Cream,Skincare,1,346,346,113.27,14-08-2017
44,230,Himalaya Face Pack,Skincare,4,1338,5352,1098.18,11-03-2022
45,189,Colorbar Eyeliner,Makeup,1,1087,1087,253.78,09-09-2022
46,291,Minimalist Sunscreen,Skincare,4,961,3844,904.21,17-08-2020
47,252,Maybelline Mascara,Makeup,1,1383,1383,368.27,20-03-2017
48,146,Minimalist Sunscreen,Skincare,2,330,660,134.97,20-05-2017
49,243,Maybelline Mascara,Makeup,5,839,4195,1161,26-01-2018
50,99,Mamaearth Face Wash,Skincare,4,1469,5876,1506.33,12-07-2021
51,227,Nykaa Nail Polish,Makeup,4,353,1412,405.65,25-07-2020
52,269,Minimalist Sunscreen,Skincare,5,1315,6575,1010.4,24-10-2018
53,228,Biotique Cream,Skincare,5,1005,5025,1480.05,25-01-2022
54,249,Maybelline Mascara,Makeup,1,884,884,249.5,29-01-2020
55,282,Colorbar Eyeliner,Makeup,3,1070,3210,491.93,23-08-2019
56,96,Lakme Lipstick,Makeup,2,1103,2206,611.33,19-05-2022
57,37,Mamaearth Face Wash,Skincare,5,474,2370,532.82,04-08-2018
58,60,Plum Serum,Skincare,2,626,1252,373.88,08-11-2017
59,180,Mamaearth Face Wash,Skincare,3,493,1479,327.95,19-10-2018
60,118,Plum Serum,Skincare,3,977,2931,527.58,23-07-2021
61,240,LOreal Shampoo,Haircare,5,1010,5050,1456.77,30-11-2017
62,251,LOreal Shampoo,Haircare,2,630,1260,146.74,11-04-2019
63,1,LOreal Shampoo,Haircare,1,1294,1294,287.8,18-11-2019
64,247,Himalaya Face Pack,Skincare,2,534,1068,170.9,02-10-2022
65,113,Nykaa Nail Polish,Makeup,3,1248,3744,1125.59,05-07-2017
66,8,Himalaya Face Pack,Skincare,4,802,3208,952.02,29-06-2022
67,157,Himalaya Face Pack,Skincare,4,556,2224,382.64,03-03-2018
68,299,Colorbar Eyeliner,Makeup,4,636,2544,364.35,16-05-2019
69,172,Maybelline Mascara,Makeup,5,1309,6545,1544.2,30-11-2020
70,19,Nykaa Nail Polish,Makeup,1,1424,1424,391.78,28-12-2020
71,297,Lakme Lipstick,Makeup,3,1122,3366,702.59,18-06-2021
72,277,Nykaa Nail Polish,Makeup,2,850,1700,580.42,29-09-2019
73,108,Biotique Cream,Skincare,3,425,1275,376.19,04-02-2017
74,99,Lakme Lipstick,Makeup,4,301,1204,236.82,04-10-2022
75,128,Biotique Cream,Skincare,5,479,2395,534.16,14-11-2018
76,140,Himalaya Face Pack,Skincare,3,1354,4062,423.88,20-02-2018
77,20,Maybelline Mascara,Makeup,3,1406,4218,585.47,09-12-2019
78,17,Lakme Lipstick,Makeup,1,1308,1308,281.89,25-11-2018
79,291,Maybelline Mascara,Makeup,3,1026,3078,500.33,30-04-2018
80,288,Plum Serum,Skincare,4,487,1948,451.01,04-12-2020
81,190,Lakme Lipstick,Makeup,1,1312,1312,439.39,25-10-2020
82,179,Minimalist Sunscreen,Skincare,3,1024,3072,409.26,07-07-2019
83,231,Biotique Cream,Skincare,3,1137,3411,1119.71,20-09-2020
84,91,Lakme Lipstick,Makeup,4,859,3436,494.76,28-10-2019
85,128,Lakme Lipstick,Makeup,4,583,2332,397.72,14-11-2019
86,47,Lakme Lipstick,Makeup,1,409,409,142.04,13-11-2022
87,120,Plum Serum,Skincare,3,920,2760,591.11,05-11-2017
88,84,Nykaa Nail Polish,Makeup,5,679,3395,343,30-07-2018
89,75,Colorbar Eyeliner,Makeup,1,1096,1096,140.65,08-02-2017
90,239,Colorbar Eyeliner,Makeup,3,808,2424,725.42,23-08-2022
91,270,Colorbar Eyeliner,Makeup,4,462,1848,460.53,01-11-2019
92,45,Plum Serum,Skincare,3,1279,3837,972.72,06-12-2017
93,78,LOreal Shampoo,Haircare,5,774,3870,1142.93,10-04-2017
94,268,Maybelline Mascara,Makeup,5,773,3865,755.05,25-11-2019
95,233,Maybelline Mascara,Makeup,2,1243,2486,552.93,07-01-2017
96,249,Mamaearth Face Wash,Skincare,2,349,698,137.93,26-09-2018
97,72,Maybelline Mascara,Makeup,2,344,688,233.91,05-04-2018
98,198,Biotique Cream,Skincare,3,437,1311,303.51,15-04-2019
99,261,Mamaearth Face Wash,Skincare,1,254,254,35.69,24-07-2022
100,214,Maybelline Mascara,Makeup,3,852,2556,745.41,26-04-2018
101,141,Minimalist Sunscreen,Skincare,3,679,2037,208.7,30-09-2021
102,144,Maybelline Mascara,Makeup,1,928,928,101.41,09-01-2017
103,112,LOreal Shampoo,Haircare,5,466,2330,707.44,10-12-2022
104,145,LOreal Shampoo,Haircare,3,269,807,227.56,01-02-2021
105,277,Maybelline Mascara,Makeup,3,1341,4023,933.06,09-06-2017
106,38,Himalaya Face Pack,Skincare,3,539,1617,416.45,18-06-2019
107,34,Colorbar Eyeliner,Makeup,4,844,3376,1085.69,07-12-2022
108,280,Biotique Cream,Skincare,3,338,1014,223.76,28-01-2020
109,3,Maybelline Mascara,Makeup,1,869,869,226.24,11-04-2022
110,72,Plum Serum,Skincare,2,1313,2626,673.25,29-11-2022
111,183,Biotique Cream,Skincare,5,964,4820,1686.2,04-06-2018
112,86,Maybelline Mascara,Makeup,2,1462,2924,805.31,11-05-2017
113,86,Lakme Lipstick,Makeup,2,1176,2352,499,19-11-2020
114,202,Maybelline Mascara,Makeup,1,1373,1373,171.47,13-07-2020
115,104,Maybelline Mascara,Makeup,4,1435,5740,1528.62,20-05-2019
116,39,LOreal Shampoo,Haircare,4,984,3936,554.44,16-07-2020
117,56,LOreal Shampoo,Haircare,5,248,1240,197.45,03-12-2022
118,13,Mamaearth Face Wash,Skincare,3,474,1422,371.72,21-04-2020
119,143,Biotique Cream,Skincare,3,359,1077,276.23,19-10-2022
120,168,Nykaa Nail Polish,Makeup,1,1463,1463,416.34,09-11-2019
121,13,Nykaa Nail Polish,Makeup,2,1490,2980,455.72,08-04-2021
122,9,LOreal Shampoo,Haircare,4,795,3180,911.79,08-06-2021
123,188,Maybelline Mascara,Makeup,5,392,1960,408.32,29-04-2020
124,47,Minimalist Sunscreen,Skincare,4,1369,5476,551.61,12-08-2018
125,194,LOreal Shampoo,Haircare,5,901,4505,1168.53,26-03-2020
126,97,Mamaearth Face Wash,Skincare,5,509,2545,335.68,24-01-2021
127,299,Plum Serum,Skincare,1,1386,1386,234.45,01-02-2019
128,34,Plum Serum,Skincare,5,955,4775,955.4,17-09-2017
129,269,Maybelline Mascara,Makeup,2,825,1650,224.68,30-08-2022
130,204,Biotique Cream,Skincare,4,971,3884,540.21,14-11-2020
131,155,Plum Serum,Skincare,4,455,1820,256.07,24-05-2022
132,36,Plum Serum,Skincare,4,1477,5908,856.37,14-05-2019
133,282,Nykaa Nail Polish,Makeup,3,255,765,212.8,12-05-2019
134,3,Lakme Lipstick,Makeup,5,1358,6790,1478.85,18-09-2018
135,274,LOreal Shampoo,Haircare,4,468,1872,325.25,13-08-2020
136,142,Plum Serum,Skincare,3,600,1800,608.99,25-05-2020
137,145,Plum Serum,Skincare,2,1406,2812,728.12,17-05-2019
138,188,Plum Serum,Skincare,1,203,203,26.91,29-10-2017
139,286,LOreal Shampoo,Haircare,1,1392,1392,447.46,07-11-2022
140,231,LOreal Shampoo,Haircare,4,646,2584,471.83,25-07-2021
141,176,Plum Serum,Skincare,2,832,1664,311.02,08-08-2020
142,20,Colorbar Eyeliner,Makeup,5,1478,7390,2542.56,25-10-2017
143,48,Himalaya Face Pack,Skincare,4,1499,5996,1854.43,13-12-2022
144,113,Lakme Lipstick,Makeup,3,1137,3411,401.14,26-01-2019
145,258,Nykaa Nail Polish,Makeup,5,1487,7435,1475.75,16-08-2019
146,147,Lakme Lipstick,Makeup,1,566,566,130.87,08-03-2019
147,127,Mamaearth Face Wash,Skincare,4,941,3764,626.69,06-03-2021
148,44,Colorbar Eyeliner,Makeup,3,974,2922,712.88,17-07-2017
149,72,Maybelline Mascara,Makeup,1,486,486,72.6,17-07-2017
150,227,Lakme Lipstick,Makeup,4,794,3176,750.06,20-01-2022
151,232,Biotique Cream,Skincare,1,1073,1073,287.6,03-12-2018
152,171,Maybelline Mascara,Makeup,3,1235,3705,1197.94,07-06-2018
153,133,Himalaya Face Pack,Skincare,3,1487,4461,525.48,19-12-2018
154,191,Biotique Cream,Skincare,3,1142,3426,399.33,18-07-2022
155,252,Lakme Lipstick,Makeup,4,1082,4328,695.33,04-07-2020
156,191,Colorbar Eyeliner,Makeup,2,272,544,55.75,18-02-2020
157,61,Biotique Cream,Skincare,1,551,551,177.86,26-06-2021
158,280,Minimalist Sunscreen,Skincare,5,253,1265,205.94,26-02-2020
159,35,Biotique Cream,Skincare,4,238,952,124.17,11-12-2017
160,232,Minimalist Sunscreen,Skincare,1,595,595,117.64,30-01-2018
161,89,Maybelline Mascara,Makeup,1,1460,1460,506.6,29-08-2021
162,238,Himalaya Face Pack,Skincare,5,1270,6350,1275.04,03-04-2020
163,49,Colorbar Eyeliner,Makeup,1,567,567,146.21,28-02-2020
164,283,Minimalist Sunscreen,Skincare,1,565,565,196.35,12-02-2017
165,172,Plum Serum,Skincare,2,644,1288,362.45,21-12-2017
166,246,Colorbar Eyeliner,Makeup,2,598,1196,131.01,03-06-2020
167,281,Mamaearth Face Wash,Skincare,2,1055,2110,454.82,14-11-2022
168,197,Colorbar Eyeliner,Makeup,5,1477,7385,2582.78,14-04-2020
169,264,Lakme Lipstick,Makeup,4,983,3932,1284.13,09-03-2018
170,272,Himalaya Face Pack,Skincare,3,869,2607,660.12,13-10-2021
171,163,Biotique Cream,Skincare,5,1191,5955,1111.13,01-11-2021
172,136,Lakme Lipstick,Makeup,5,1341,6705,1342,16-03-2019
173,36,Nykaa Nail Polish,Makeup,3,594,1782,481.02,01-01-2019
174,199,Minimalist Sunscreen,Skincare,5,336,1680,254.63,12-07-2018
175,190,Mamaearth Face Wash,Skincare,4,1030,4120,1427.27,29-09-2020
176,151,Nykaa Nail Polish,Makeup,5,1171,5855,1314.87,02-01-2022
177,172,Himalaya Face Pack,Skincare,4,989,3956,489.98,08-07-2018
178,16,Maybelline Mascara,Makeup,1,1382,1382,372.99,12-03-2019
179,274,Colorbar Eyeliner,Makeup,3,1128,3384,502.17,21-01-2018
180,31,Plum Serum,Skincare,2,611,1222,252.79,10-08-2018
181,155,Biotique Cream,Skincare,2,1235,2470,287.16,08-09-2018
182,64,LOreal Shampoo,Haircare,4,761,3044,392.45,11-04-2019
183,6,LOreal Shampoo,Haircare,3,931,2793,962.06,22-06-2020
184,135,Nykaa Nail Polish,Makeup,2,456,912,158.21,24-12-2018
185,56,Lakme Lipstick,Makeup,5,925,4625,1061.6,27-04-2018
186,218,Biotique Cream,Skincare,4,519,2076,318.39,29-12-2018
187,114,Minimalist Sunscreen,Skincare,3,326,978,120.76,14-02-2017
188,34,LOreal Shampoo,Haircare,2,1153,2306,248.66,15-07-2022
189,114,Minimalist Sunscreen,Skincare,4,366,1464,405.56,26-01-2018
190,177,Himalaya Face Pack,Skincare,3,1335,4005,915.98,22-04-2019
191,146,Nykaa Nail Polish,Makeup,3,1021,3063,315.67,08-06-2018
192,195,Lakme Lipstick,Makeup,5,913,4565,1301.74,21-08-2017
193,134,LOreal Shampoo,Haircare,5,758,3790,521.57,10-04-2021
194,220,Plum Serum,Skincare,3,456,1368,314.45,27-11-2019
195,285,LOreal Shampoo,Haircare,5,1162,5810,2021.59,03-02-2020
196,146,Maybelline Mascara,Makeup,5,697,3485,901.76,05-04-2020
197,25,Himalaya Face Pack,Skincare,3,1057,3171,335.38,26-01-2020
198,236,Nykaa Nail Polish,Makeup,3,948,2844,981.27,28-07-2020
199,71,Lakme Lipstick,Makeup,5,669,3345,581.77,27-07-2017
200,83,Nykaa Nail Polish,Makeup,4,766,3064,966.51,21-05-2018
201,106,Maybelline Mascara,Makeup,4,646,2584,774.45,25-12-2020
202,228,Himalaya Face Pack,Skincare,5,1017,5085,538.88,25-04-2018
203,284,Maybelline Mascara,Makeup,2,732,1464,429.12,24-09-2018
204,38,Mamaearth Face Wash,Skincare,5,1077,5385,1035.07,12-05-2022
205,266,Plum Serum,Skincare,4,1272,5088,1625.94,10-10-2020
206,94,LOreal Shampoo,Haircare,1,1278,1278,363.37,08-09-2019
207,268,Maybelline Mascara,Makeup,2,722,1444,272.3,12-11-2020
208,292,Colorbar Eyeliner,Makeup,3,648,1944,303.83,29-10-2018
209,142,LOreal Shampoo,Haircare,3,537,1611,368.13,13-01-2018
210,248,Himalaya Face Pack,Skincare,1,964,964,121.51,22-11-2019
211,248,Himalaya Face Pack,Skincare,4,236,944,260.2,15-09-2019
212,37,Nykaa Nail Polish,Makeup,2,586,1172,351.37,16-11-2022
213,297,Mamaearth Face Wash,Skincare,3,416,1248,416.38,28-09-2019
214,134,Lakme Lipstick,Makeup,4,1479,5916,1056.66,19-06-2021
215,271,Plum Serum,Skincare,2,1355,2710,278.77,28-06-2021
216,93,LOreal Shampoo,Haircare,4,537,2148,344.02,04-07-2017
217,106,Nykaa Nail Polish,Makeup,2,1354,2708,501.48,26-02-2018
218,40,Biotique Cream,Skincare,5,1085,5425,763.68,17-06-2021
219,188,Biotique Cream,Skincare,3,1197,3591,904.56,30-11-2019
220,40,Maybelline Mascara,Makeup,1,619,619,143.36,26-07-2018
221,107,Biotique Cream,Skincare,3,586,1758,546.46,27-09-2021
222,239,LOreal Shampoo,Haircare,3,1067,3201,909.15,06-09-2017
223,232,Himalaya Face Pack,Skincare,5,1054,5270,1611.24,24-02-2021
224,180,LOreal Shampoo,Haircare,1,307,307,96.45,12-02-2021
225,198,Nykaa Nail Polish,Makeup,1,961,961,217.02,13-04-2021
226,138,Himalaya Face Pack,Skincare,3,757,2271,738.4,13-05-2020
227,58,Himalaya Face Pack,Skincare,2,581,1162,129.15,08-02-2022
228,113,Mamaearth Face Wash,Skincare,3,1332,3996,1081.17,17-04-2017
229,224,Minimalist Sunscreen,Skincare,4,1040,4160,896.03,21-07-2018
230,270,Himalaya Face Pack,Skincare,1,565,565,148.73,15-12-2017
231,209,Minimalist Sunscreen,Skincare,2,592,1184,124.85,11-07-2022
232,65,Plum Serum,Skincare,5,950,4750,1547.71,02-04-2021
233,102,Maybelline Mascara,Makeup,2,1425,2850,547.22,23-09-2017
234,239,Himalaya Face Pack,Skincare,5,547,2735,472.31,05-01-2021
235,223,Mamaearth Face Wash,Skincare,4,1083,4332,881.24,31-01-2020
236,191,Lakme Lipstick,Makeup,3,1044,3132,582.48,03-04-2022
237,61,Biotique Cream,Skincare,2,282,564,100.72,09-12-2020
238,210,Himalaya Face Pack,Skincare,4,766,3064,313.98,22-12-2018
239,67,Nykaa Nail Polish,Makeup,1,879,879,98.74,29-08-2020
240,162,Mamaearth Face Wash,Skincare,2,240,480,120.37,23-07-2022
241,59,Plum Serum,Skincare,1,552,552,60.47,24-12-2017
242,276,Mamaearth Face Wash,Skincare,3,623,1869,479.19,16-02-2022
243,31,Nykaa Nail Polish,Makeup,5,959,4795,1258.71,19-01-2022
244,2,Colorbar Eyeliner,Makeup,2,1138,2276,267.49,18-07-2022
245,115,Himalaya Face Pack,Skincare,5,255,1275,442.09,19-12-2018
246,148,Himalaya Face Pack,Skincare,1,1222,1222,329.24,13-05-2021
247,8,LOreal Shampoo,Haircare,1,1440,1440,166.88,01-09-2022
248,157,Plum Serum,Skincare,1,291,291,95.79,02-12-2017
249,197,Mamaearth Face Wash,Skincare,4,1248,4992,518.93,08-11-2022
250,28,Minimalist Sunscreen,Skincare,4,985,3940,673.9,21-12-2020
251,229,Maybelline Mascara,Makeup,4,1494,5976,1402.41,20-04-2019
252,90,LOreal Shampoo,Haircare,2,1149,2298,666.28,14-08-2022
253,36,Nykaa Nail Polish,Makeup,1,803,803,250.4,22-10-2017
254,94,Lakme Lipstick,Makeup,5,758,3790,1221.46,24-07-2022
255,24,Biotique Cream,Skincare,2,215,430,134.73,04-06-2018
256,183,Lakme Lipstick,Makeup,5,220,1100,201.59,10-10-2022
257,97,Maybelline Mascara,Makeup,5,919,4595,997.74,09-01-2020
258,67,Nykaa Nail Polish,Makeup,2,620,1240,158.74,19-06-2020
259,230,Himalaya Face Pack,Skincare,3,1331,3993,547.44,15-07-2019
260,47,Lakme Lipstick,Makeup,4,212,848,155.01,09-09-2020
261,295,Maybelline Mascara,Makeup,2,1388,2776,484.28,14-12-2022
262,175,Plum Serum,Skincare,2,1474,2948,837.26,24-07-2020
263,63,Plum Serum,Skincare,5,747,3735,452.92,11-09-2019
264,104,Colorbar Eyeliner,Makeup,1,837,837,232.89,12-04-2019
265,272,Biotique Cream,Skincare,1,607,607,155.78,23-03-2018
266,246,Himalaya Face Pack,Skincare,2,267,534,139.97,20-05-2021
267,257,Himalaya Face Pack,Skincare,2,1499,2998,449.69,17-03-2021
268,108,Biotique Cream,Skincare,2,1435,2870,622.99,17-10-2019
269,222,Maybelline Mascara,Makeup,3,776,2328,258.95,10-12-2021
270,275,Lakme Lipstick,Makeup,3,1339,4017,714.39,04-02-2017
271,165,Biotique Cream,Skincare,3,955,2865,613.36,24-10-2020
272,187,Lakme Lipstick,Makeup,2,1062,2124,366.34,17-03-2018
273,289,Himalaya Face Pack,Skincare,4,985,3940,774.76,10-09-2018
274,259,Maybelline Mascara,Makeup,5,202,1010,209.96,14-04-2021
275,238,Plum Serum,Skincare,4,1188,4752,1092.38,01-05-2019
276,201,Plum Serum,Skincare,3,1028,3084,1065.42,23-03-2021
277,73,Colorbar Eyeliner,Makeup,1,1138,1138,178.95,23-08-2018
278,204,Colorbar Eyeliner,Makeup,2,936,1872,373.11,08-04-2020
279,80,Colorbar Eyeliner,Makeup,5,525,2625,850.05,30-06-2019
280,134,LOreal Shampoo,Haircare,2,428,856,296.34,24-02-2021
281,98,Himalaya Face Pack,Skincare,1,1340,1340,149.52,20-01-2021
282,183,Mamaearth Face Wash,Skincare,4,999,3996,941.81,16-06-2017
283,203,Minimalist Sunscreen,Skincare,4,505,2020,650.22,11-05-2019
284,132,Plum Serum,Skincare,1,439,439,86.83,25-08-2018
285,212,Biotique Cream,Skincare,4,301,1204,199.21,03-04-2017
286,296,Himalaya Face Pack,Skincare,5,1461,7305,2131.43,12-09-2020
287,64,Lakme Lipstick,Makeup,2,1317,2634,600.82,18-10-2019
288,153,Lakme Lipstick,Makeup,4,302,1208,273.99,31-03-2021
289,203,Himalaya Face Pack,Skincare,5,683,3415,940.04,29-04-2018
290,250,Himalaya Face Pack,Skincare,4,1224,4896,1512.8,20-07-2020
291,199,Maybelline Mascara,Makeup,4,666,2664,318.9,23-03-2022
292,282,Mamaearth Face Wash,Skincare,1,1444,1444,480.85,26-09-2020
293,164,Nykaa Nail Polish,Makeup,3,1247,3741,977.98,10-09-2019
294,291,Mamaearth Face Wash,Skincare,5,577,2885,948.21,04-09-2022
295,148,Plum Serum,Skincare,4,235,940,237.39,10-11-2019
296,232,Colorbar Eyeliner,Makeup,5,297,1485,148.72,28-03-2018
297,282,Lakme Lipstick,Makeup,5,486,2430,810.31,26-07-2020
298,153,Lakme Lipstick,Makeup,1,1005,1005,127.71,15-09-2019
299,65,Nykaa Nail Polish,Makeup,4,1241,4964,512.08,17-09-2020
300,23,Mamaearth Face Wash,Skincare,4,200,800,246.91,18-12-2017
301,34,Lakme Lipstick,Makeup,5,719,3595,775.33,14-04-2018
302,190,Biotique Cream,Skincare,3,854,2562,574.22,20-06-2018
303,175,Minimalist Sunscreen,Skincare,5,1033,5165,1734.75,31-03-2021
304,270,Minimalist Sunscreen,Skincare,3,1369,4107,575.79,04-08-2019
305,87,LOreal Shampoo,Haircare,4,473,1892,195.13,14-02-2020
306,67,Lakme Lipstick,Makeup,3,1113,3339,707.43,18-03-2020
307,85,LOreal Shampoo,Haircare,3,1443,4329,881.05,02-09-2019
308,182,Maybelline Mascara,Makeup,2,1263,2526,552.7,08-10-2018
309,285,Lakme Lipstick,Makeup,1,1302,1302,217.72,17-01-2019
310,283,Plum Serum,Skincare,5,587,2935,675.22,07-04-2022
311,220,Minimalist Sunscreen,Skincare,1,976,976,330.27,05-05-2017
312,49,Himalaya Face Pack,Skincare,4,839,3356,577.16,23-06-2021
313,121,Plum Serum,Skincare,5,451,2255,705.93,17-08-2022
314,241,Nykaa Nail Polish,Makeup,1,400,400,112.6,08-05-2018
315,270,Maybelline Mascara,Makeup,2,936,1872,377.42,12-04-2017
316,64,Colorbar Eyeliner,Makeup,2,1124,2248,236.61,28-03-2020
317,144,Plum Serum,Skincare,2,1441,2882,575.1,30-05-2019
318,180,Lakme Lipstick,Makeup,3,1245,3735,1246.22,19-06-2017
319,52,LOreal Shampoo,Haircare,5,947,4735,1250.1,22-11-2017
320,266,Colorbar Eyeliner,Makeup,5,1199,5995,1575.39,29-09-2021
321,262,Lakme Lipstick,Makeup,5,558,2790,432.76,08-11-2018
322,225,Plum Serum,Skincare,5,1044,5220,1041.87,17-11-2019
323,244,Mamaearth Face Wash,Skincare,2,202,404,97.64,31-12-2019
324,268,LOreal Shampoo,Haircare,4,1283,5132,1765.72,30-03-2018
325,82,Biotique Cream,Skincare,1,602,602,104.99,07-01-2017
326,95,Biotique Cream,Skincare,3,1375,4125,461.4,11-11-2017
327,68,Nykaa Nail Polish,Makeup,5,984,4920,526.38,29-08-2019
328,207,Maybelline Mascara,Makeup,3,1121,3363,444.17,09-12-2019
329,156,Plum Serum,Skincare,2,1229,2458,480.39,30-01-2020
330,223,Maybelline Mascara,Makeup,1,1486,1486,519.19,30-12-2018
331,162,Biotique Cream,Skincare,4,1001,4004,757.32,21-10-2017
332,148,Plum Serum,Skincare,4,1325,5300,1216.19,20-01-2018
333,64,Nykaa Nail Polish,Makeup,1,1204,1204,397.42,04-05-2020
334,22,Lakme Lipstick,Makeup,1,553,553,123.92,07-09-2017
335,33,Minimalist Sunscreen,Skincare,3,518,1554,180.75,26-04-2019
336,156,Biotique Cream,Skincare,4,296,1184,126.17,25-12-2019
337,92,Lakme Lipstick,Makeup,2,234,468,57.62,12-12-2022
338,207,Maybelline Mascara,Makeup,3,790,2370,712.21,28-06-2022
339,17,LOreal Shampoo,Haircare,3,278,834,90.81,07-11-2020
340,201,LOreal Shampoo,Haircare,3,849,2547,713.37,19-08-2017
341,221,Nykaa Nail Polish,Makeup,5,1284,6420,1709.51,28-01-2019
342,69,Mamaearth Face Wash,Skincare,1,1208,1208,326.44,31-10-2019
343,269,Lakme Lipstick,Makeup,3,1401,4203,443.23,09-07-2022
344,58,Maybelline Mascara,Makeup,1,1392,1392,437.31,20-07-2021
345,282,Mamaearth Face Wash,Skincare,4,457,1828,288.72,27-06-2020
346,77,Mamaearth Face Wash,Skincare,3,1491,4473,1435.25,05-08-2021
347,139,Biotique Cream,Skincare,5,518,2590,260.71,20-04-2017
348,89,Nykaa Nail Polish,Makeup,1,230,230,39.84,12-01-2021
349,282,Colorbar Eyeliner,Makeup,2,406,812,251.32,07-09-2020
350,213,Himalaya Face Pack,Skincare,3,1216,3648,583.48,28-09-2017
351,200,Biotique Cream,Skincare,5,851,4255,798.69,20-03-2022
352,97,Nykaa Nail Polish,Makeup,3,829,2487,559.18,27-11-2020
353,23,Maybelline Mascara,Makeup,3,361,1083,279.04,25-01-2021
354,229,Biotique Cream,Skincare,1,1256,1256,329.91,03-12-2021
355,24,Colorbar Eyeliner,Makeup,3,635,1905,537.05,12-02-2018
356,77,Nykaa Nail Polish,Makeup,3,1339,4017,1069.72,23-08-2020
357,39,Mamaearth Face Wash,Skincare,1,1385,1385,292.34,19-11-2021
358,263,Lakme Lipstick,Makeup,4,1359,5436,800.4,02-04-2019
359,205,Mamaearth Face Wash,Skincare,2,1185,2370,478.6,02-10-2021
360,157,LOreal Shampoo,Haircare,2,859,1718,424.01,18-10-2018
361,299,LOreal Shampoo,Haircare,4,1142,4568,1337.97,23-11-2019
362,288,Plum Serum,Skincare,4,366,1464,409.63,01-06-2018
363,18,Himalaya Face Pack,Skincare,4,1349,5396,1569.78,20-07-2018
364,186,Biotique Cream,Skincare,4,1266,5064,1188.22,19-07-2021
365,286,Colorbar Eyeliner,Makeup,4,576,2304,688.82,06-01-2018
366,152,Colorbar Eyeliner,Makeup,3,399,1197,370.81,02-12-2020
367,114,Mamaearth Face Wash,Skincare,4,830,3320,376.86,30-11-2020
368,238,Maybelline Mascara,Makeup,3,544,1632,529.97,31-01-2021
369,125,Minimalist Sunscreen,Skincare,5,851,4255,1281.55,30-03-2017
